,,,,,,
Description,Parent Topic,HOCS Team name,HOCS Team name in full,HOCS Unit Name,HOCS Unit name in full,Howard - 18 Oct
Events at the Orgreave Coking Plant on 18 June 1984,Specific Cases ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Other police misconduct cases,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Stephen Lawrence – Undercover Policing,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Cumbria Police investigation into death of Poppi Worthington,Specific Cases ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Concerns about South Yorkshire Police following the conclusion of the Hillsborough Inquest.,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Policing and Crime Bill (New Clause 64 re. the Leveson Inquiry).,Policing and Crime Bill ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
National Crime Registrar,Criminal Justice ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Undercover police officer,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Crime recording and crime data integrity,Crime Statistics ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Screening out of crime (Police forces not investigating all crimes),Police ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police investigation into Deepcut barracks deaths,Specific Cases ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Community Safety Accreditation Schemes,Neighbourhood Justice ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police complaints - Police and Andrew Mitchell MP,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Neighbourhood Policing Fund,Neighbourhood Justice ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Crime mapping and local crime data,Neighbourhood Justice ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Independent Custody Visitors (ICVs),Police Arrests & Custody ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Performance Management Policy - Crime and Policing,Police ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Neighbourhood Justice,Neighbourhood Justice ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Investigation of war crimes,Crime - War ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Community and neighbourhood policing,Neighbourhood Justice ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police Surgeons - Forensic Medical Examiner (FME),Forensic Science & Pathology ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Corruption in the Police,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Complaints about the Police by police staff or officers only,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Sanction detections,Police Records (inc PNC) ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
High Court Ruling on Hookway (Detention Clock),Specific Cases ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
To ensure that milestones are achieved and to represent the HO on the programme board,Police Statistics ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police misconduct - How to make a complaint (unhappy with IPCC investigation),Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police misconduct - Correspondence sent to IPCC copied to Home Office,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police misconduct - Correspondence sent to Police copied to Home Office,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Change in Ministers not policy,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police Complaints Changes in Ministers not Policy - frequent writer,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police complaints - Home Office/Minister not intervening,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police complaints - how to make a complaint (whole process),Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police misconduct - Compensation: police liability,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police misconduct - Complaints not recorded,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police misconduct - How to make a complaint (already dealt with by Police),Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Complaint regarding conduct of officers - Policy on,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Complaint against Police - Strip Search,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Complaint of Police misconduct,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Corruption - Complaint of Police Corruption,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police disciplinary procedures,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Right to silence  - POLICE DISCIPLINE (NOT suspects in criminal investigation),Police Records (inc PNC) ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Complaints against decisions made by the PCA in the course of their supervision into complaints investigations,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Discipline appeals to Home Secretary - Casework under 1985 regulations,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Forfeiture of pension - Police Integrity & Community Confidence,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Policing & Human Rights,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Legislative amends to the Police and Criminal Evidence Act 1984,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Chapman review of police complaints and disciplinary systems,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Community Resolutions.,Neighbourhood Justice ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
EDM 338 - Undecover Policing,Police powers ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Police Misconduct Tribunal,Police Complaints & Misconduct ,PIU,Police Integrity Unit,CFPG PFD,"Crime, Policing and Fire Group Policing and Fire Services Directorate",
Private Office Invitations,Miscellaneous ,POINVITE(HO),Private Office Invitations,DCU,Direct Communications Unit,
Moped pursuits,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Anti Israeli Al-Quds March,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Anti Social use of vehicles,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime - Speed Awareness,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Authorisation of overseas deployments by serving police officers and staff from forces in E&W to provide police assistance to foreign countries or international organisations.,Judicial Co-operation ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
International Police Assistance Board.,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Overseas Deployment Manual for Police Officers.,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Overseas Subsistence Rates for Police Officers and Staff.,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime – PC Mark Milton,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime – Police Vehicle Accidents,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime- Cycling on the Pavement,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime - Unlicensed Vehicles,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime - Speed Cameras Generally,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime - LTI.20.20 Speed Camera Device,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime – anti social use of vehicles,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime  - motorway closures,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Firearms and alternatives (plastic bullets, CS sprays) - Police use of",Police Firearms ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Vehicle removal, fees, storage, disposal fees",Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Recovery of stolen vehicles,Crime - Vehicle ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Speed -  Enforcement/Funding,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Drugs and driving,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime – Using a Mobile Phone While Driving,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Crime – Statutory Charges for the Removal of Vehicles,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Driving offences,Driving Offences ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Moving traffic offences (e.g. speeding) / enforcement by Police,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police pursuits / car chases,Police Complaints & Misconduct ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Type Approval of Road Traffic Equipment,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Research into traffic enforcement technology (traffic light, speed cameras) by Home Office",Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Toximeters,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Traffic policing,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police / Traffic Warden enforcement - vehicle registration / driver licence (See DVLA for legislation),Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Drink and drugs driving (offence),Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police checks on vehicles,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
General Police use of Firearms,Police Firearms ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Taser,Police Firearms ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police use of Firearms (Taser),Police Firearms ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police use of Firearms,Police Firearms ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Parking enforcement (e.g. red routes) by Traffic Wardens / Community Support Officers,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Traffic Wardens - powers / uniform,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Cycling on pavements,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Enforcement of Construction and Use Regulations - Police,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Power to stop vehicles - Police,Police Powers ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"School crossing, liaison, security",Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Fixed penalties,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic Enforcement,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police vehicles in accidents,Police IT Systems ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Accidents - Policing (general related queries),Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Riots - August 2011,Specific Cases ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests and Demos - English Defence League and march in Tower Hamlets,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest and Demo-Muslim demonstration outside US Embassy on September 11 anniversary,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Animal rights extremists inc hunt saboteurs - Intimidation, violence and threatening behaviour",Animal Research & Testing ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Demonstrations, marches, processions - applications to ban",Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Dispersal (dispersing) of groups,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Equipment - Police protective equipment,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Equipment - CS spray,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest & Demo - Wearing of face masks to conceal identity,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Dispersal - Police powers to disperse groups,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest and Demos-Concerns about Muslim Demonstrations,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest & Demo - Protests and demonstrations,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest & Demo - Protests at Parliament Square,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests & Demonstrations,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests and Demonstrations (Climate Camp Kingsnorth),Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest and demo – Luton protest,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests and Demos - English Defence League protests in Luton and Birmingham,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Guardian article on police/ NETCU database and surveillance of protestors.,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest & Demo – Proposed Pro-Islam march in Wootton Bassett,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest and Demos – English Defence League protests,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests and Demonstrations - English Defence League,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests & Demo - Homecoming parade in Barking,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Section 5 Public Order Act,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests & Demos - Use of police horses,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police photographing/ filming protest,Police Complaints & Misconduct ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests & Demos - Disorder at student demos,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests & Demonstrations - MAC demo on Armistice Day,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests & Demos - Use of containment/kettling at student demo,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Travellers - Police involvement in traveller evictions,Travellers ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protest & Demo – G20 Protests,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Hunting enforcement,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Excess Deaths,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Pandemic Flu,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Swine Flu,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Mass Fatalities,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Temporary/Emergency Mortuaries,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Co-ordination of response to requests for the secondment of serving police officers and staff from forces in E&W to International Peace Support Operations.,Police ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Removing insulting from Section 5 of the Public Order Act 1986,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Civil Contingency Planning,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Funeral Directors (Civil Contingencies & Mass Fatalities),Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Body Storage,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Disaster Victim Identification,Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Kellogg, Brown and Root (KBR) - Contract for National Emergency Mortuary Arrangements",Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
National Emergency Mortuary Arrangements (NEMA),Civil and Emergency Planning ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests and Demonstrations - Fracking,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Water cannon,Policing and Crime Bill ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Use of taser on children/young people,Police Website ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Police enforcement for speed awareness course,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Notice of Intended Prosecution (NIP),Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Number of Police Officers,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Fixed Penalty Notice,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - issue of NIP,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Obstruction,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Speed Awareness Course,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic- Provision of documents  power to administer breath test,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic- Speed Awareness Course not offered due to leased company car,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic- Vehicle recovery charges,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Road Traffic - Speed Awareness Course being offered,Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Protests in Parliament Square,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Laser, radar, wheel clamps (public land), bus lane cameras etc",Road Traffic Issues ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Disorder at sporting events, other than football, eg cricket, rugby",Sport (not inc Football) ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Abortion Clinics Protests,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Golders Green demonstration,Protests & Demonstrations ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Killer Clowns,Crime - Anti Social Behaviour ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police misconduct - Freedom of Information,Police Complaints & Misconduct ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Suspects' statements or interview (Inc. policy on identification, tape and video recording of interviews with suspects)",Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Community Support Officers,Police powers ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Powers under PACE,Police Powers ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Stop and Search Consultation.,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Identification of suspects,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Search and Seizure - Confiscation and return of goods,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Powers for PCSOs (designated police staff),Police Powers ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Stop and Search,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Deaths in police custody,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Pre-charge Bail Reform,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Appropriate Adults,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Independent review of deaths in police custody,Police Arrests & Custody ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Policing and Crime Bill – face coverings,Police powers ,POPU,Police Powers Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Romanian sex workers, Swindon",Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Istanbul Convention (VAWG),Violence against Women ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Common Law Police Disclosure - notifying criminal record information for regulatory purposes.,Police ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
