logic,unit,Team
,Office for Security and Counter Terrorism National Security Directorate,National Security Unit
,Office for Security and Counter Terrorism National Security Directorate,OSCT - Pursue Disruptions Unit
,Office for Security and Counter Terrorism National Security Directorate,Special Cases Unit
,"Office for Security and Counter Terrorism Protect, Prepare, Counter Terrorism Science and CBRNE",Borders and Aviation Security Unit
,"Office for Security and Counter Terrorism Protect, Prepare, Counter Terrorism Science and CBRNE","OSCT Chemical, Biological, Radiological, Nuclear & Explosives"
,"Office for Security and Counter Terrorism Protect, Prepare, Counter Terrorism Science and CBRNE",OSCT - Operational Support & Knowledge Management
,Office for Security and Counter Terrorism Pursue Policy & Strategy Unit,Pursue Policy & Strategy Unit
,Office for Security and Counter Terrorism Serious and Organised Crime Directorate,National Crime Agency Oversight Unit
,Office for Security and Counter Terrorism Serious and Organised Crime Directorate,OSCT - Prevent 
,Office for Security and Counter Terrorism Serious and Organised Crime Directorate,OSCT - Protect
,Office for Security and Counter Terrorism Serious and Organised Crime Directorate,OSCT Strategic Centre for Organised Crime 
,Office for Security and Counter Terrorism Serious and Organised Crime Directorate,OSCT - Strategy
,Resettlement Operations Support,Syrian Resettlement Correspondence Team
,Borders Immigration and Citizenship Policy and Strategy Group,Migration Policy Unit - Student Migration Policy Team
,Borders Immigration and Citizenship Policy and Strategy Group,Migration Policy Unit - Nationality Policy Team
,Borders Immigration and Citizenship Policy and Strategy Group,Migration Policy Unit - Economic Migration Policy Team
,Borders Immigration and Citizenship Policy and Strategy Group,Migration Policy Unit - Passport Policy Team
,Borders Immigration and Citizenship Policy and Strategy Group,Migration Policy Unit - Passport Projects
,Borders Immigration and Citizenship Policy and Strategy Group,Europe Directorate and International Directorate
,Borders Immigration and Citizenship Policy and Strategy Group,"Policy and Strategy Group, Asylum & Family Strategy (AFPU)"
,Borders Immigration and Citizenship Policy and Strategy Group,"Policy and Strategy Group, Asylum Policy (AFPU)"
,Borders Immigration and Citizenship Policy and Strategy Group,Family Asylum Policy (AFPU)
,Borders Immigration and Citizenship Policy and Strategy Group,Policy and Strategy Group Asylum & Family Policy (AFPU)
,Borders Immigration and Citizenship Policy and Strategy Group,EU & International Asylum Policy (AFPU)
,Borders Immigration and Citizenship Policy and Strategy Group,Policy and Strategy Group EU & International Asylum Policy (AFPU)
,Borders Immigration and Citizenship Policy and Strategy Group,Free Movement and Migrant Criminality Unit
,Borders Immigration and Citizenship Policy and Strategy Group,"Policy and Strategy Group Illegal Migration, Identity Security & Enforcement Unit "
,Borders Immigration and Citizenship Policy and Strategy Group,"Policy and Strategy Group Removals, Enforcement & Detention Team, Illegal Migration, Identity Security & Enforcement Policy"
,Borders Immigration and Citizenship Policy and Strategy Group,Migrant Criminality Policy Team
,Borders Immigration and Citizenship Policy and Strategy Group,"Policy and Strategy Group Free Movement Team, Free Movement and Migrant Criminality Unit"
,Border Force,Border Force Secretariat
,Border Force,Border Force South Region Secretariat
,Border Force,Border Force South East & Europe Secretariat
,Border Force,Border Force Heathrow Secretariat
,Border Force,Border Force North Region
,Border Force,Border Force Scotland Secretariat
,Border Force,Border Force Finance
,Border Force,Border Force Human Resource
,Border Force,Border Force Internal Communications
,Border Force,Border Force Strategic Communications
,HMPO FOI,HMPO
,Home Office Legal,Legal Advisers
,Immigration Enforcement,Immigration Intelligence
,Immigration Enforcement,Criminal & Financial Investigations
,Immigration Enforcement,Detention Services
,Immigration Enforcement,National Operations
,Immigration Enforcement,Director's Office
,Immigration Enforcement,Civil Penalty Compliance Team
,Immigration Enforcement,Interventions & Sanctions Directorate
,Immigration Enforcement,Returns Preparation
,Immigration Enforcement,ICE South
,Immigration Enforcement,"ICE North, Midlands & Wales"
,Immigration Enforcement,ICE Scotland
,Immigration Enforcement,Casework & Returns
,Immigration Enforcement,Directors Office
,Immigration Enforcement,Central Authorities Bureau 
,UKVI ALS,"Appeals, Litigation and Subject Access Request Directorate Hub"
,UKVI ALS,"Appeals, Litigation and Subject Access Request Directorate Subject Access Requests unit"
,UKVI ALS,"Appeals, Litigation and Subject Access Request Directorate Litigation Operations"
,UKVI ALS,"Appeals, Litigation and Subject Access Request Directorate Appeals Operations"
,UKVI CCT,Central Correspondence Team
,UKVI ROS,Resettlement Operations Support Team
,UKVI RCM,Refused Case Management
